Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Ashfield,502,165,32.86852589641434,924,627,67.85714285714286,34.98861696072852,72,3.5089362107377013
Blandford,277,81,29.241877256317693,586,384,65.52901023890784,36.287132982590144,15,3.5115387932627726
Goshen,266,45,16.917293233082706,509,228,44.79371316306485,27.876419929982138,15,3.664859594959907
Dartmouth,14644,4394,30.005462988254585,14430,10653,73.82536382536382,43.81990083710925,725,4.987493429176055
Wareham,8072,2277,28.208622398414274,11075,6692,60.424379232505636,32.21575683409137,518,5.469962213666157
Whately,462,119,25.75757575757576,736,337,45.78804347826087,20.030467720685106,34,5.505952380952387
Acushnet,3770,1297,34.40318302387268,4531,3110,68.63826969763849,34.23508667376581,229,5.517393587470238
Richmond,319,136,42.63322884012539,808,543,67.20297029702971,24.56974145690432,29,5.675998634346186
Gill,597,218,36.51591289782245,809,532,65.7601977750309,29.244284877208447,39,5.742557037349897
Granville (includes Tolland),623,152,24.398073836276087,970,474,48.8659793814433,24.467905545167213,44,5.799341397627046
Westport,5291,2082,39.34983934983936,8247,5971,72.40208560688734,33.05224625704798,388,5.8563886865087085
Chester,323,67,20.74303405572756,638,301,47.17868338557994,26.435649329852374,28,5.917291846618205
Fairhaven,5476,2132,38.93352812271731,7547,5254,69.61706638399365,30.683538261276325,368,5.928463101888013
Westfield (includes Montgomery),15812,4438,28.06729066531748,16462,9851,59.84084558376868,31.773554918451204,962,5.954884391662787
Freetown,3162,1268,40.10120177103099,3841,2695,70.16401978651393,30.06281801548294,209,6.028311333771697
Rochester,1793,763,42.554378137200224,2502,1693,67.66586730615508,25.11148916895485,128,6.09578148969949
Windsor,185,50,27.02702702702703,464,322,69.39655172413794,42.3695246971109,24,6.147483690587151
Methuen,20420,8013,39.24094025465229,19832,14541,73.32089552238807,34.079955267735784,1243,6.16572055412378
Shirley,4163,1314,31.56377612298823,2840,1881,66.23239436619717,34.66861824320894,212,6.200304154980316
Sandisfield,178,50,28.089887640449447,573,270,47.120418848167546,19.030531207718106,18,6.2395827205521925
Somerset,6346,2344,36.936653009769934,8321,5837,70.14781877178223,33.21116576201229,455,6.283450152301683
Russell,697,162,23.242467718794842,711,401,56.39943741209565,33.15696969330081,45,6.374314673898809
New Braintree,384,129,33.59375,461,331,71.80043383947941,38.20668383947941,59,6.381596274656175
East Longmeadow,5377,2316,43.07234517388879,7803,5538,70.97270280661284,27.900357632724052,408,6.4256626666172
Fitchburg,17677,4777,27.02381625841489,13717,8689,63.3447546839688,36.320938425553905,1000,6.437716741824325
Plympton,965,396,41.036269430051824,1426,936,65.63814866760168,24.60187923754986,79,6.578494139191484
Haverhill,25894,9932,38.35637599443887,24621,17001,69.05081028390399,30.694434289465114,1677,6.637940830005363
Ludlow,7735,2536,32.78603749191984,9006,6021,66.85542971352432,34.069392221604474,565,6.6713450100995715
Chicopee,22093,6322,28.61539854252479,22095,12980,58.74632269744286,30.13092415491807,1478,6.689556389549843
Danvers,9923,5017,50.55930666129195,12662,10000,78.976465013426,28.417158352134045,742,6.7102345937673675
Otis,449,105,23.38530066815145,1018,549,53.92927308447937,30.54397241632792,50,6.778871187226791
New Bedford,40118,10093,25.158283064958376,34298,20075,58.53110968569596,33.372826620737584,2528,6.806020263431215
Wales,493,91,18.45841784989858,804,436,54.22885572139303,35.77043787149446,47,6.865772557092832
Carver,4194,1539,36.69527896995708,5449,3494,64.12185722150853,27.426578251551447,330,6.874404730805516
Chesterfield,416,109,26.20192307692308,586,306,52.2184300341297,26.016506957206627,57,6.880475259427115
Peabody,19686,8797,44.686579294930404,25564,18152,71.00610233140353,26.31952303647312,1539,6.9066975518138065
Lanesborough (includes Hancock and New Ashford),1154,375,32.495667244367425,1994,1094,54.864593781344034,22.36892653697661,106,6.922152940624308
Southwick,3238,898,27.733168622606545,4631,2523,54.48067372057871,26.74750509797216,276,6.944539104504102
Egremont (includes Mount Washington),159,59,37.106918238993714,770,347,45.064935064935064,7.958016825941349,19,6.959078657191853
West Boylston,2601,1352,51.98000768935025,3936,2587,65.72662601626016,13.746618326909905,211,7.003843502967911
Hampden,1396,520,37.249283667621775,2568,1783,69.43146417445483,32.18218050683305,129,7.017602585044955
Rehoboth,4264,1297,30.417448405253282,5513,3253,59.00598585162344,28.588537446370157,341,7.030180923207624
Swansea,5515,1913,34.68721668177697,7199,4933,68.5234060286151,33.83618934683813,440,7.0408590293529585
Salisbury,2966,1066,35.94066082265678,4263,3089,72.46070842129956,36.520047598642776,256,7.092485656108181
Warren,2086,396,18.983700862895496,2011,944,46.941819990054704,27.958119127159208,145,7.122737694358882
New Marlborough,289,76,26.29757785467128,863,292,33.835457705677875,7.5378798510065925,32,7.160183956344454
Hardwick,1202,237,19.7171381031614,1267,669,52.80189423835833,33.084756135196926,89,7.165313795607702
Agawam,9803,3451,35.203509129858205,13182,8200,62.20603853739949,27.00252940754129,814,7.179192185895253
Middleborough,9359,2857,30.526765680094037,12048,6916,57.403718459495366,26.876952779401325,769,7.188854192518676
Randolph,13886,5655,40.724470689903505,12832,10304,80.2992518703242,39.574781180420686,968,7.2135729917608415
Mattapoisett,1586,796,50.1891551071879,3091,2820,91.23261080556452,41.04345569837662,154,7.2232854363418255
Groveland,2174,1105,50.82796688132475,3156,2315,73.35234474017744,22.52437785885269,185,7.235848715607773
Bourne,7339,2703,36.83063087614117,9850,8222,83.47208121827411,46.64145034213294,610,7.241905597174679
Berkley,2508,936,37.32057416267943,2698,1753,64.9740548554485,27.65348069276907,189,7.249477727609694
Monson,2831,882,31.155068880254326,3815,2382,62.43774574049803,31.2826768602437,244,7.279562121855356
Millville,1478,359,24.28958051420839,1261,641,50.83267248215702,26.543091967948637,99,7.292041134095733
Holyoke,15949,5101,31.9831964386482,13800,9059,65.64492753623189,33.6617310975837,1082,7.292824228678185
Wilbraham,4311,2053,47.62236140106704,6946,4883,70.29945292254534,22.677091521478303,384,7.323500245757046
